test_accuracy	test_loss	train_accuracy	train_loss	valid_accuracy	valid_loss
2.21311	2.09083	0.560086	0.187733333333	0.21546184739	0.831726907631
2.10356	2.51007		0.215422222222	0.199598393574	
1.99995	2.54545		0.251044444444	0.13734939759	
1.84795	2.60894		0.316044444444	0.203212851406	
1.755	2.17648		0.333	0.301204819277	
1.59904	2.04441		0.397088888889	0.406425702811	
1.47887	2.08091		0.454844444444	0.415863453815	
1.3383	1.92523		0.517288888889	0.35983935743	
1.1773	1.90452		0.585111111111	0.431726907631	
1.05644	1.34118		0.633866666667	0.552610441767	
0.966236	1.30917		0.669466666667	0.564457831325	
0.894093	1.01542		0.695288888889	0.648795180723	
0.849976	0.972349		0.710866666667	0.679317269076	
0.799603	1.76331		0.732111111111	0.485341365462	
0.767592	0.877907		0.744533333333	0.711445783133	
0.743372	1.09209		0.752955555556	0.64718875502	
0.596311	0.740582		0.804088888889	0.746184738956	
0.511263	0.987914		0.832288888889	0.693574297189	
0.447519	0.866633		0.854355555556	0.731526104418	
0.398851	0.894925		0.869422222222	0.737751004016	
0.339257	0.754524		0.888933333333	0.769076305221	
0.297052	0.952733		0.903977777778	0.762449799197	
0.436931	0.608197		0.857133333333	0.80562248996	
0.384007	0.591108		0.872066666667	0.812248995984	
0.344767	0.572039		0.885155555556	0.821485943775	
0.311975	0.577766		0.895511111111	0.817670682731	
0.274359	0.584311		0.909488888889	0.821285140562	
0.241918	0.607106		0.919577777778	0.821285140562	
0.21638	0.593124		0.928777777778	0.827710843373	
0.188113	0.650029		0.938533333333	0.827911646586	
0.291547	0.547595		0.903933333333	0.828915662651	
0.275038	0.554701		0.909111111111	0.829718875502	
0.268458	0.564378		0.910244444444	0.824899598394	
0.255729	0.56944		0.915	0.828112449799	
0.246018	0.580063		0.918111111111	0.830923694779	
0.237436	0.581133		0.921355555556	0.828112449799	
0.273061	0.551604		0.908755555556	0.828714859438	
0.272977	0.555222		0.909355555556	0.829116465863	
0.267946	0.555079		0.910288888889	0.829116465863	
0.263449	0.555484		0.913066666667	0.828714859438	
0.264895	0.560185		0.912466666667	0.827710843373	
0.270117	0.549938		0.911266666667	0.829317269076	
0.273602	0.549524		0.91	0.829518072289	
0.274858	0.55135		0.909444444444	0.829518072289	
0.274148	0.551193		0.908177777778	0.829116465863	
0.269289	0.551747		0.9102	0.828915662651	
